09-11 14:43:40 [INFO] wechatbot_client | Current Env: prod
09-11 14:43:41 [SUCCESS] wechatbot_client | Action Manager | dll注入成功...
09-11 14:43:41 [INFO] wechatbot_client | Action Manager | 等待登录...
09-11 14:43:41 [SUCCESS] wechatbot_client | Action Manager | 登录完成...
09-11 14:43:41 [INFO] wechatbot_client | WeChat Manager | 初始化完成，启动uvicorn...
09-11 14:43:41 [SUCCESS] wechatbot_client | 加载[wechatbot_client.startup]成功...
09-11 14:43:41 [INFO] uvicorn | Started server process [2720]
09-11 14:43:41 [INFO] uvicorn | Waiting for application startup.
09-11 14:43:41 [SUCCESS] wechatbot_client | scheduler | 定时器模块已开启...
09-11 14:43:41 [INFO] wechatbot_client | 数据库初始化成功...
09-11 14:43:41 [INFO] uvicorn | Application startup complete.
09-11 14:43:41 [INFO] uvicorn | Uvicorn running on http://127.0.0.1:8000 (Press CTRL+C to quit)
09-11 14:43:55 [INFO] uvicorn | 127.0.0.1:50123 - "GET / HTTP/1.1" 405
09-11 14:44:10 [INFO] uvicorn | 127.0.0.1:50140 - "GET / HTTP/1.1" 405
09-11 14:45:29 [SUCCESS] wechatbot_client | WeChat Manager | 生成事件[GroupMessageEvent]:{'id': 'd6d63146-e9e7-4199-a174-d134db8251d9', 'time': 1694414729.0, 'type': 'message', 'detail_type': 'group', 'sub_type': '', 'self': {'platform': 'wechat', 'user_id': 'wxid_n55yg50aengs12'}, 'message_id': '9049218950735949052', 'message': [MessageSegment(type='text', data={'text': '我们当时下雨'})], 'alt_message': '我们当时下雨', 'user_id': 'wxid_o4fspqpr99xe22', 'group_id': '44043383416@chatroom'}
09-11 14:45:29 [ERROR] wechatbot_client | WeChat Manager | 生成事件出错:no element found: line 1, column 0
09-11 14:45:36 [SUCCESS] wechatbot_client | WeChat Manager | 生成事件[GroupMessageEvent]:{'id': '9045466d-9ae6-4988-a0fa-23b7bfbca133', 'time': 1694414736.0, 'type': 'message', 'detail_type': 'group', 'sub_type': '', 'self': {'platform': 'wechat', 'user_id': 'wxid_n55yg50aengs12'}, 'message_id': '2988360485552381710', 'message': [MessageSegment(type='text', data={'text': '在他妈的地下停车场军训'})], 'alt_message': '在他妈的地下停车场军训', 'user_id': 'wxid_o4fspqpr99xe22', 'group_id': '44043383416@chatroom'}
09-11 14:45:46 [SUCCESS] wechatbot_client | WeChat Manager | 生成事件[GroupMessageEvent]:{'id': '44a53800-5eff-4823-8fd6-cbdd71422ec1', 'time': 1694414746.0, 'type': 'message', 'detail_type': 'group', 'sub_type': '', 'self': {'platform': 'wechat', 'user_id': 'wxid_n55yg50aengs12'}, 'message_id': '3376249689518400625', 'message': [MessageSegment(type='text', data={'text': '你他妈的怎么能睡觉的啊，真该死啊'})], 'alt_message': '你他妈的怎么能睡觉的啊，真该死啊', 'user_id': 'wxid_o4fspqpr99xe22', 'group_id': '44043383416@chatroom'}
09-11 14:45:54 [ERROR] wechatbot_client | File Manager | 文件下载失败:
09-11 14:45:54 [SUCCESS] wechatbot_client | WeChat Manager | 生成事件[GroupMessageEvent]:{'id': '88732da1-73e5-40c1-b68d-6dd90b4cdb40', 'time': 1694414748.0, 'type': 'message', 'detail_type': 'group', 'sub_type': '', 'self': {'platform': 'wechat', 'user_id': 'wxid_n55yg50aengs12'}, 'message_id': '4223384383255110611', 'message': [MessageSegment(type='wx.emoji', data={'file_id': None})], 'alt_message': '', 'user_id': 'wxid_o4fspqpr99xe22', 'group_id': '44043383416@chatroom'}
09-11 14:47:25 [ERROR] wechatbot_client | File Manager | 文件下载失败:
09-11 14:47:25 [SUCCESS] wechatbot_client | WeChat Manager | 生成事件[GroupMessageEvent]:{'id': '29f6f1ac-1b19-46c4-aff0-e97552ac066e', 'time': 1694414840.0, 'type': 'message', 'detail_type': 'group', 'sub_type': '', 'self': {'platform': 'wechat', 'user_id': 'wxid_n55yg50aengs12'}, 'message_id': '1451817245121596706', 'message': [MessageSegment(type='wx.emoji', data={'file_id': None})], 'alt_message': '', 'user_id': 'lisongj398156529', 'group_id': '44043383416@chatroom'}
09-11 14:47:30 [SUCCESS] wechatbot_client | WeChat Manager | 生成事件[GroupMessageEvent]:{'id': '44d3a403-7d8a-4963-b7b6-584448333df2', 'time': 1694414850.0, 'type': 'message', 'detail_type': 'group', 'sub_type': '', 'self': {'platform': 'wechat', 'user_id': 'wxid_n55yg50aengs12'}, 'message_id': '2228841733614437453', 'message': [MessageSegment(type='text', data={'text': '我们甚至冒雨'})], 'alt_message': '我们甚至冒雨', 'user_id': 'lisongj398156529', 'group_id': '44043383416@chatroom'}
09-11 14:47:36 [SUCCESS] wechatbot_client | WeChat Manager | 生成事件[GroupMessageEvent]:{'id': 'fbc07384-3a1e-4dc5-8619-aa4a2fdeb100', 'time': 1694414856.0, 'type': 'message', 'detail_type': 'group', 'sub_type': '', 'self': {'platform': 'wechat', 'user_id': 'wxid_n55yg50aengs12'}, 'message_id': '3053788528068510185', 'message': [MessageSegment(type='text', data={'text': '女生去躲雨'})], 'alt_message': '女生去躲雨', 'user_id': 'lisongj398156529', 'group_id': '44043383416@chatroom'}
09-11 14:47:40 [SUCCESS] wechatbot_client | WeChat Manager | 生成事件[GroupMessageEvent]:{'id': 'c9a172aa-14ba-4730-839b-2215e78145d9', 'time': 1694414860.0, 'type': 'message', 'detail_type': 'group', 'sub_type': '', 'self': {'platform': 'wechat', 'user_id': 'wxid_n55yg50aengs12'}, 'message_id': '6979567464133122400', 'message': [MessageSegment(type='text', data={'text': '男生冒雨'})], 'alt_message': '男生冒雨', 'user_id': 'lisongj398156529', 'group_id': '44043383416@chatroom'}
